Date,Channel,Content title,Target URL,Campaign,Status,Reach,Clicks,Inquiries,Affiliate clicks,Notes
Day 16,Facebook Page,Seven-day guide feature,https://luxeroutes.eu/journal/7-day-luxury-road-trip-slovenia,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 17,Pinterest,10-day itinerary carousel,https://luxeroutes.eu/journal/slovenia-croatia-10-day-adriatic-road-trip,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 18,Instagram,Helpful reply: Bled versus Bohinj,https://luxeroutes.eu/journal/7-day-luxury-road-trip-slovenia,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 19,Travel Forum,Arrival and departure planning,https://luxeroutes.eu/slovenia-croatia-trip-planning,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 20,Instagram Story,Partner offers categories,https://luxeroutes.eu/partner-offers,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 21,Instagram,Slow travel quote card,https://luxeroutes.eu/journal/slovenia-croatia-10-day-adriatic-road-trip,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 22,Facebook Page,Slovenia destination connection,https://luxeroutes.eu/slovenia,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 23,Pinterest,Croatia destination connection,https://luxeroutes.eu/croatia,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 24,LinkedIn,What to include in a brief,https://luxeroutes.eu/plan-trip,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 25,Instagram Story,Rental permission checklist,https://luxeroutes.eu/slovenia-croatia-trip-planning,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 26,Facebook Page,Seven-day guide recap,https://luxeroutes.eu/journal/7-day-luxury-road-trip-slovenia,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 27,Pinterest,Ten-day guide recap,https://luxeroutes.eu/journal/slovenia-croatia-10-day-adriatic-road-trip,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 28,Instagram,Personal planning landing recap,https://luxeroutes.eu/slovenia-croatia-trip-planning,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 29,Travel Forum,Monthly lessons and saves,https://luxeroutes.eu/slovenia-croatia-trip-planning,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
Day 30,Instagram Story,Non-binding brief invitation,https://luxeroutes.eu/plan-trip,30-Day Organic Launch,Planned,,,,,Use the matching daily-plan brief; log results after 48 hours.
